Município,Ano,RMT,RMM,RMF,Coeficiente de Gini,Renda Média da População (R$) ,Renda Média dos Declarantes (R$),Renda Média da População (R$ mil),Renda Média dos Declarantes (R$ mil),Rendimento médio da população feminina/masculina (%)
Itapejara d'Oeste,2021,2312.77,2493.42,2089.73,0.49,76904,603160,76.9,603.16,83.81
Itaperuçu,2021,1914.92,1870.22,1991.67,0.41,26785,394854,26.79,394.85,106.49
Itaúna do Sul,2021,2309.27,2384.0,2248.02,0.38,63376,493695,63.38,493.7,94.3
Ivaí,2021,2078.86,2093.6,2058.14,0.51,29627,553879,29.63,553.88,98.31
Ivaiporã,2021,2325.51,2411.19,2242.15,0.49,111901,791837,111.9,791.84,92.99
Ivaté,2021,2538.91,2635.78,2323.38,0.38,51694,576397,51.69,576.4,88.15
Ivatuba,2021,2467.29,2840.81,2193.59,0.44,127859,833497,127.86,833.5,77.22
Jaboti,2021,2026.19,2046.01,2005.69,0.48,53108,613581,53.11,613.58,98.03
Jacarezinho,2021,2705.44,2844.0,2518.46,0.54,112314,708670,112.31,708.67,88.55
Jaguapitã,2021,2416.9,2618.55,2196.26,0.4,86130,682582,86.13,682.58,83.87
Jaguariaíva,2021,2481.82,2679.44,2095.95,0.52,80202,614444,80.2,614.44,78.22
Jandaia do Sul,2021,2398.32,2535.36,2199.07,0.46,128716,710885,128.72,710.89,86.74
Janiópolis,2021,2440.01,2360.72,2550.05,0.5,73380,713494,73.38,713.49,108.02
Japira,2021,2300.66,2143.6,2450.91,0.48,47621,591361,47.62,591.36,114.34
Japurá,2021,2472.46,2674.4,2187.62,0.36,116222,905009,116.22,905.01,81.8
Jardim Alegre,2021,2233.09,2267.6,2176.26,0.61,71354,631025,71.35,631.03,95.97
Jardim Olinda,2021,2149.67,2186.95,2099.8,0.44,80361,731560,80.36,731.56,96.01
Jataizinho,2021,2339.4,2272.17,2431.85,0.47,51897,475619,51.9,475.62,107.03
Jesuítas,2021,2301.21,2417.99,2142.59,0.43,132222,706939,132.22,706.94,88.61
Joaquim Távora,2021,2280.78,2422.44,2106.15,0.43,189980,1388601,189.98,1388.6,86.94
Jundiaí do Sul,2021,2312.88,2063.48,2686.19,0.5,70656,708515,70.66,708.52,130.18
Juranda,2021,2265.17,2406.06,2070.05,0.45,99241,811280,99.24,811.28,86.03
Jussara,2021,2619.25,2691.75,2427.81,0.46,84000,552754,84.0,552.75,90.19
Kaloré,2021,1943.31,2134.87,1724.39,0.4,68019,502320,68.02,502.32,80.77
Lapa,2021,2529.72,2617.74,2419.8,0.49,84669,616367,84.67,616.37,92.44
Laranjal,2021,1834.4,1804.12,1874.27,0.49,18952,401538,18.95,401.54,103.89
Laranjeiras do Sul,2021,2292.99,2344.5,2231.93,0.55,96227,735465,96.23,735.47,95.2
Leópolis,2021,2575.47,2587.36,2558.87,0.39,60312,559630,60.31,559.63,98.9
Lidianópolis,2021,2180.32,2224.22,2128.44,0.41,55839,524464,55.84,524.46,95.69
Lindoeste,2021,2331.21,2405.53,2246.53,0.53,46839,513330,46.84,513.33,93.39
Loanda,2021,2226.64,2300.57,2141.34,0.47,87037,644449,87.04,644.45,93.08
Lobato,2021,2532.22,2729.84,2311.58,0.38,103064,650087,103.06,650.09,84.68
Londrina,2021,3112.39,3303.78,2896.78,0.52,214406,970236,214.41,970.24,87.68
Luiziana,2021,2487.82,2634.5,2132.51,0.49,45786,545220,45.79,545.22,80.95
Lunardelli,2021,2297.64,2267.12,2325.79,0.46,58155,580812,58.16,580.81,102.59
Lupionópolis,2021,2217.64,2438.26,2028.3,0.49,67488,638099,67.49,638.1,83.19
Mallet,2021,2677.85,2896.96,2352.92,0.47,75511,634503,75.51,634.5,81.22
Mamborê,2021,2309.88,2538.92,1803.09,0.51,166612,1014168,166.61,1014.17,71.02
Mandaguaçu,2021,2317.47,2393.28,2221.0,0.41,92027,551731,92.03,551.73,92.8
Mandaguari,2021,2558.17,2892.97,2160.9,0.45,108611,637968,108.61,637.97,74.69
Mandirituba,2021,2405.81,2415.55,2388.16,0.48,53796,606955,53.8,606.96,98.87
Manfrinópolis,2021,2204.12,2322.91,2060.92,0.47,28467,509565,28.47,509.57,88.72
Mangueirinha,2021,2407.17,2691.73,2101.86,0.58,75225,684471,75.23,684.47,78.09
Manoel Ribas,2021,2562.67,2961.88,2102.21,0.6,61182,641750,61.18,641.75,70.98
Marechal Cândido Rondon,2021,2768.8,3061.57,2458.14,0.54,156002,764506,156.0,764.51,80.29
Maria Helena,2021,2156.38,2141.77,2175.07,0.42,52029,683287,52.03,683.29,101.55
Marialva,2021,2683.89,2822.8,2456.53,0.44,123402,659249,123.4,659.25,87.02
Marilândia do Sul,2021,2439.61,2593.99,2229.33,0.44,65070,637961,65.07,637.96,85.94
Marilena,2021,1962.16,2063.23,1893.22,0.36,37014,504251,37.01,504.25,91.76
Mariluz,2021,2483.79,2508.02,2453.58,0.46,42716,595026,42.72,595.03,97.83
Maringá,2021,2977.5,3150.92,2772.74,0.49,237573,980116,237.57,980.12,88.0
Mariópolis,2021,2440.19,2672.06,2146.82,0.49,75235,580185,75.24,580.19,80.34
Maripá,2021,2571.2,2838.8,2242.78,0.43,198567,925210,198.57,925.21,79.0
Marmeleiro,2021,2584.35,2656.65,2467.1,0.51,71996,595977,72.0,595.98,92.87
Marquinho,2021,2558.39,2636.55,2434.44,0.51,36339,630844,36.34,630.84,92.33
Marumbi,2021,1977.5,2229.02,1681.93,0.46,100255,930346,100.26,930.35,75.46
Matelândia,2021,1960.28,2133.0,1794.01,0.46,90999,631797,91.0,631.8,84.11
Matinhos,2021,2260.37,2294.6,2229.91,0.49,98556,624512,98.56,624.51,97.18
